GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017
0500000US13001,13001,"Appling County, Georgia",18236,18236,18336,18469,18402,18395,18502,18450,18485,18521
0500000US13003,13003,"Atkinson County, Georgia",8375,8382,8365,8373,8273,8285,8243,8375,8320,8342
0500000US13005,13005,"Bacon County, Georgia",11096,11092,11064,11162,11177,11205,11218,11287,11365,11319
0500000US13007,13007,"Baker County, Georgia",3451,3451,3435,3316,3377,3351,3295,3201,3208,3200
0500000US13009,13009,"Baldwin County, Georgia",45720,45840,45691,45147,46499,46166,45853,45518,45190,44906
0500000US13011,13011,"Banks County, Georgia",18395,18389,18421,18267,18153,18244,18248,18382,18309,18634
0500000US13013,13013,"Barrow County, Georgia",69367,69367,69696,69894,70206,71319,72959,75067,77091,79061
0500000US13015,13015,"Bartow County, Georgia",100157,100123,100095,100213,100365,101056,101397,102176,103431,105054
0500000US13017,13017,"Ben Hill County, Georgia",17634,17634,17620,17563,17577,17426,17423,17323,17190,16996
0500000US13019,13019,"Berrien County, Georgia",19286,19286,19356,19381,19166,19061,18821,18988,19014,19186
0500000US13021,13021,"Bibb County, Georgia",155547,155806,155820,156216,156665,155071,154422,154057,153205,152862
0500000US13023,13023,"Bleckley County, Georgia",13063,13063,13033,13080,12888,12740,12712,12717,12898,12830
0500000US13025,13025,"Brantley County, Georgia",18411,18410,18461,18540,18509,18237,18337,18393,18355,18731
0500000US13027,13027,"Brooks County, Georgia",16243,16322,16255,15994,15631,15665,15534,15668,15693,15587
0500000US13029,13029,"Bryan County, Georgia",30233,30213,30376,31271,32258,33038,33678,34798,35842,37060
0500000US13031,13031,"Bulloch County, Georgia",70217,70251,70571,72687,73167,71873,72734,73233,74721,76149
0500000US13033,13033,"Burke County, Georgia",23316,23316,23327,23502,23045,22827,22628,22642,22608,22522
0500000US13035,13035,"Butts County, Georgia",23655,23655,23747,23575,23412,23203,23317,23489,23710,24059
0500000US13037,13037,"Calhoun County, Georgia",6694,6694,6694,6625,6566,6599,6516,6552,6393,6455
0500000US13039,13039,"Camden County, Georgia",50513,50513,50660,50308,51352,51413,51926,52462,52416,53044
0500000US13043,13043,"Candler County, Georgia",10998,10995,11022,11208,11110,10970,10885,10903,10915,10797
0500000US13045,13045,"Carroll County, Georgia",110527,110580,110667,110758,111452,112300,113596,114491,116291,117812
0500000US13047,13047,"Catoosa County, Georgia",63942,63936,64077,64760,64872,65224,65488,65821,66267,66550
0500000US13049,13049,"Charlton County, Georgia",12171,12171,12853,13462,13362,13122,13038,13190,12751,12715
0500000US13051,13051,"Chatham County, Georgia",265128,265128,265846,271870,276503,277963,282858,286819,289390,290501
0500000US13053,13053,"Chattahoochee County, Georgia",11267,11267,11188,11263,12276,12246,11714,11075,10100,10343
0500000US13055,13055,"Chattooga County, Georgia",26015,26015,25950,25677,25619,25044,24859,24896,24833,24770
0500000US13057,13057,"Cherokee County, Georgia",214346,214362,215189,217820,220773,224487,230396,235424,241600,247573
0500000US13059,13059,"Clarke County, Georgia",116714,116754,117481,118433,120135,121094,120721,123875,125018,127064
0500000US13061,13061,"Clay County, Georgia",3183,3183,3174,3159,3103,3012,3070,3072,3006,2962
0500000US13063,13063,"Clayton County, Georgia",259424,259576,259857,262360,265777,264511,267405,273675,280006,285153
0500000US13065,13065,"Clinch County, Georgia",6798,6798,6771,6733,6709,6775,6800,6850,6789,6727
0500000US13067,13067,"Cobb County, Georgia",688078,688070,689595,697433,707549,717201,729904,742023,750477,755754
0500000US13069,13069,"Coffee County, Georgia",42356,42356,42738,43032,43178,43137,42977,43099,43015,43014
0500000US13071,13071,"Colquitt County, Georgia",45498,45497,45649,45852,46127,46252,46029,45665,45671,45835
0500000US13073,13073,"Columbia County, Georgia",124053,124059,125004,128914,132680,136293,139285,144007,147451,151579
0500000US13075,13075,"Cook County, Georgia",17212,17209,17189,17045,16919,17069,17319,17097,17187,17277
0500000US13077,13077,"Coweta County, Georgia",127317,127337,127915,129393,130644,132996,135266,138227,140472,143114
0500000US13079,13079,"Crawford County, Georgia",12630,12630,12616,12615,12612,12511,12435,12393,12291,12295
0500000US13081,13081,"Crisp County, Georgia",23439,23439,23438,23761,23598,23316,23076,22962,22935,22736
0500000US13083,13083,"Dade County, Georgia",16633,16633,16620,16589,16508,16445,16282,16157,16242,16285
0500000US13085,13085,"Dawson County, Georgia",22330,22339,22288,22293,22467,22686,22988,23317,23613,24379
0500000US13087,13087,"Decatur County, Georgia",27842,27842,27813,27657,27456,27407,27194,27083,26715,26716
0500000US13089,13089,"DeKalb County, Georgia",691893,691996,692572,699684,710604,717321,725647,737418,746690,753253
0500000US13091,13091,"Dodge County, Georgia",21796,21797,21761,21611,21515,21430,21177,21141,20837,20730
0500000US13093,13093,"Dooly County, Georgia",14918,14913,14840,14600,14407,14366,14245,14034,13885,13737
0500000US13095,13095,"Dougherty County, Georgia",94565,94565,94517,95062,94690,93388,92754,91569,90395,89502
0500000US13097,13097,"Douglas County, Georgia",132403,132322,132614,133223,133703,136164,138229,140466,142021,143882
0500000US13099,13099,"Early County, Georgia",11008,11004,10980,10784,10636,10536,10444,10449,10298,10296
0500000US13101,13101,"Echols County, Georgia",4034,4031,4025,4087,3991,4019,4060,4059,3981,3936
0500000US13103,13103,"Effingham County, Georgia",52250,52257,52465,52698,53348,54437,55414,57047,58553,59982
0500000US13105,13105,"Elbert County, Georgia",20166,20166,20104,19823,19578,19490,19394,19306,19143,19109
0500000US13107,13107,"Emanuel County, Georgia",22598,22594,22604,22491,22738,22633,22481,22464,22404,22530
0500000US13109,13109,"Evans County, Georgia",11000,11002,11023,10986,10687,10806,10827,10707,10668,10775
0500000US13111,13111,"Fannin County, Georgia",23682,23696,23674,23637,23608,23823,23846,24418,24991,25322
0500000US13113,13113,"Fayette County, Georgia",106567,106566,106940,107212,107400,108129,109320,110286,111248,112549
0500000US13115,13115,"Floyd County, Georgia",96317,96316,96428,96221,96000,95921,95959,96243,96620,97613
0500000US13117,13117,"Forsyth County, Georgia",175511,175511,176767,182034,187126,194137,202945,211384,220067,227967
0500000US13119,13119,"Franklin County, Georgia",22084,22084,22072,21971,21921,22047,22186,22280,22306,22820
0500000US13121,13121,"Fulton County, Georgia",920581,920451,925797,948809,974918,982930,994658,1008841,1024248,1041423
0500000US13123,13123,"Gilmer County, Georgia",28292,28281,28325,28328,28293,28719,29037,29607,30033,30674
0500000US13125,13125,"Glascock County, Georgia",3082,3082,3075,3099,3104,3056,3006,3020,2992,3062
0500000US13127,13127,"Glynn County, Georgia",79626,79626,79757,80182,80970,81596,82333,83594,84528,85282
0500000US13129,13129,"Gordon County, Georgia",55186,55186,55219,55497,55689,55779,55878,56387,56987,57089
0500000US13131,13131,"Grady County, Georgia",25011,25012,25027,25121,25301,25143,25267,25117,24893,24819
0500000US13133,13133,"Greene County, Georgia",15994,15996,15983,16080,16153,16282,16472,16688,16939,17281
0500000US13135,13135,"Gwinnett County, Georgia",805321,805297,808254,824166,839144,855798,874472,892137,907101,920260
0500000US13137,13137,"Habersham County, Georgia",43041,43041,43068,43066,43419,43206,43620,43819,44177,44567
0500000US13139,13139,"Hall County, Georgia",179684,179697,180059,182467,184401,186765,189480,192506,196237,199335
0500000US13141,13141,"Hancock County, Georgia",9429,9402,9434,9396,9081,8957,8575,8587,8657,8561
0500000US13143,13143,"Haralson County, Georgia",28780,28776,28759,28466,28312,28335,28483,28701,28833,29256
0500000US13145,13145,"Harris County, Georgia",32024,32000,32155,32313,32580,32544,32748,33165,33617,33915
0500000US13147,13147,"Hart County, Georgia",25213,25213,25243,25431,25531,25483,25395,25453,25548,25794
0500000US13149,13149,"Heard County, Georgia",11834,11825,11837,11725,11649,11561,11620,11552,11574,11730
0500000US13151,13151,"Henry County, Georgia",203922,203867,205127,207080,208224,210252,213282,216827,221355,225813
0500000US13153,13153,"Houston County, Georgia",139900,139909,140756,143971,146061,147751,148926,149685,151862,153479
0500000US13155,13155,"Irwin County, Georgia",9538,9532,9597,9697,9617,9366,9098,9159,9359,9410
0500000US13157,13157,"Jackson County, Georgia",60485,60460,60699,60976,60857,61285,62098,63375,64978,67519
0500000US13159,13159,"Jasper County, Georgia",13900,13900,13896,13838,13648,13606,13554,13717,13821,13964
0500000US13161,13161,"Jeff Davis County, Georgia",15068,15068,15107,15158,15198,15050,14937,15015,14970,15025
0500000US13163,13163,"Jefferson County, Georgia",16930,16930,16884,16779,16363,16259,16140,15935,15788,15648
0500000US13165,13165,"Jenkins County, Georgia",8340,8336,8323,8127,9116,9200,9041,8869,8770,8767
0500000US13167,13167,"Johnson County, Georgia",9980,9984,9996,10009,10016,9920,9830,9734,9730,9788
0500000US13169,13169,"Jones County, Georgia",28669,28669,28647,28734,28623,28575,28654,28447,28553,28470
0500000US13171,13171,"Lamar County, Georgia",18317,18311,18264,18159,18027,17918,18185,18236,18470,18599
0500000US13173,13173,"Lanier County, Georgia",10078,10070,10097,10477,10463,10412,10371,10277,10454,10425
0500000US13175,13175,"Laurens County, Georgia",48434,48434,48388,47844,47759,47671,47631,47431,47192,47330
0500000US13177,13177,"Lee County, Georgia",28298,28298,28416,28581,28710,29047,29138,29197,29230,29470
0500000US13179,13179,"Liberty County, Georgia",63453,63482,62660,65089,64333,62282,64016,61524,61390,61386
0500000US13181,13181,"Lincoln County, Georgia",7996,7996,7970,7871,7762,7732,7641,7721,7864,7880
0500000US13183,13183,"Long County, Georgia",14464,14437,14674,15208,16126,16618,17196,17861,18594,19014
0500000US13185,13185,"Lowndes County, Georgia",109233,109243,109685,111500,114110,112907,113580,113424,114306,115489
0500000US13187,13187,"Lumpkin County, Georgia",29966,29965,30319,30505,30732,30917,31169,31350,31528,32873
0500000US13189,13189,"McDuffie County, Georgia",21875,21869,21805,21613,21630,21502,21524,21462,21456,21498
0500000US13191,13191,"McIntosh County, Georgia",14333,14332,14312,14223,13882,14027,14065,14033,14072,14106
0500000US13193,13193,"Macon County, Georgia",14740,14740,14641,14462,14306,13983,13839,13719,13520,13314
0500000US13195,13195,"Madison County, Georgia",28120,28118,28163,28125,28026,28155,28330,28384,28827,29302
0500000US13197,13197,"Marion County, Georgia",8742,8742,8745,8712,8687,8597,8655,8576,8511,8450
0500000US13199,13199,"Meriwether County, Georgia",21992,21991,21830,21607,21347,21231,21221,21186,21072,21049
0500000US13201,13201,"Miller County, Georgia",6125,6129,6135,6076,6009,5904,5949,5848,5881,5838
0500000US13205,13205,"Mitchell County, Georgia",23498,23498,23499,23401,23086,23000,22728,22437,22411,22292
0500000US13207,13207,"Monroe County, Georgia",26424,26159,26172,26342,26375,26620,26660,26705,26879,27113
0500000US13209,13209,"Montgomery County, Georgia",9123,9176,9144,9034,8891,8960,8936,8901,8983,9031
0500000US13211,13211,"Morgan County, Georgia",17868,17866,17898,17903,17806,17683,17897,17951,18121,18412
0500000US13213,13213,"Murray County, Georgia",39628,39628,39543,39410,39370,39251,39318,39494,39376,39782
0500000US13215,13215,"Muscogee County, Georgia",189885,190571,191110,195332,199051,203274,200714,198882,196307,194058
0500000US13217,13217,"Newton County, Georgia",99958,99985,100157,100476,101000,102088,103508,104958,106580,108078
0500000US13219,13219,"Oconee County, Georgia",32808,32817,32910,33248,33503,34064,35061,35840,36866,38028
0500000US13221,13221,"Oglethorpe County, Georgia",14899,14875,14892,14702,14505,14418,14538,14725,14710,14877
0500000US13223,13223,"Paulding County, Georgia",142324,142383,142824,143594,144756,146789,148617,151771,155374,159445
0500000US13225,13225,"Peach County, Georgia",27695,27695,27747,27689,27680,27077,27097,26962,26899,27099
0500000US13227,13227,"Pickens County, Georgia",29431,29421,29452,29412,29282,29409,29840,30181,30695,31588
0500000US13229,13229,"Pierce County, Georgia",18758,18762,18815,18779,18915,19029,19027,19123,19218,19307
0500000US13231,13231,"Pike County, Georgia",17869,17869,17918,17780,17766,17771,17761,17922,17923,18217
0500000US13233,13233,"Polk County, Georgia",41475,41475,41531,41305,41131,41073,40961,41372,41730,42085
0500000US13235,13235,"Pulaski County, Georgia",12010,12001,11969,11842,11702,11566,11510,11397,11307,11201
0500000US13237,13237,"Putnam County, Georgia",21218,21218,21197,21276,21176,21325,21190,21356,21548,21730
0500000US13239,13239,"Quitman County, Georgia",2513,2513,2515,2457,2410,2371,2290,2281,2333,2358
0500000US13241,13241,"Rabun County, Georgia",16276,16276,16282,16270,16322,16203,16185,16252,16528,16602
0500000US13243,13243,"Randolph County, Georgia",7719,7719,7666,7564,7304,7198,7312,7221,7225,7075
0500000US13245,13245,"Richmond County, Georgia",200549,200549,200880,200378,201589,201142,201292,201597,202008,201800
0500000US13247,13247,"Rockdale County, Georgia",85215,85164,85373,85503,85556,86618,87416,88687,89375,90312
0500000US13249,13249,"Schley County, Georgia",5010,5010,5017,5042,5022,5093,5187,5190,5158,5213
0500000US13251,13251,"Screven County, Georgia",14593,14593,14500,14404,14170,14143,14000,14057,14032,13953
0500000US13253,13253,"Seminole County, Georgia",8729,8729,8727,8765,8869,8845,8601,8562,8445,8292
0500000US13255,13255,"Spalding County, Georgia",64073,64073,64066,64021,63680,63505,63695,63828,64553,65380
0500000US13257,13257,"Stephens County, Georgia",26175,26172,26136,25774,25735,25583,25441,25485,25724,25890
0500000US13259,13259,"Stewart County, Georgia",6058,6058,6098,6072,6119,5562,5870,5867,5875,5985
0500000US13261,13261,"Sumter County, Georgia",32819,32817,32686,32082,31601,31354,31185,30696,30355,29847
0500000US13263,13263,"Talbot County, Georgia",6865,6863,6853,6823,6614,6529,6509,6474,6353,6249
0500000US13265,13265,"Taliaferro County, Georgia",1717,1717,1703,1706,1675,1689,1695,1645,1626,1628
0500000US13267,13267,"Tattnall County, Georgia",25520,25512,25481,25448,25478,25659,25352,25383,25281,25334
0500000US13269,13269,"Taylor County, Georgia",8906,8906,8775,8435,8358,8377,8374,8242,8199,8142
0500000US13271,13271,"Telfair County, Georgia",16500,16500,16530,16266,16398,16666,16511,16493,16034,15989
0500000US13273,13273,"Terrell County, Georgia",9315,9507,9525,9391,9227,9169,9084,9018,8888,8729
0500000US13275,13275,"Thomas County, Georgia",44720,44719,44748,44603,44560,44817,44909,44950,45090,44779
0500000US13277,13277,"Tift County, Georgia",40118,40131,40256,41199,41006,40243,40536,40626,40650,40598
0500000US13279,13279,"Toombs County, Georgia",27223,27174,27254,27215,27194,27213,27178,27215,27195,26999
0500000US13281,13281,"Towns County, Georgia",10471,10471,10530,10578,10560,10786,11080,11143,11349,11506
0500000US13283,13283,"Treutlen County, Georgia",6885,6881,6891,6823,6790,6685,6808,6798,6727,6740
0500000US13285,13285,"Troup County, Georgia",67044,67040,67053,67637,68304,68809,69267,69527,69776,69786
0500000US13287,13287,"Turner County, Georgia",8930,8930,8907,8937,8441,8204,8063,7981,7972,7961
0500000US13289,13289,"Twiggs County, Georgia",9023,9022,8968,8821,8548,8513,8376,8317,8235,8174
0500000US13291,13291,"Union County, Georgia",21356,21359,21370,21252,21330,21422,21759,22010,22660,23459
0500000US13293,13293,"Upson County, Georgia",27153,27153,27060,26928,26572,26440,26178,26240,26213,26135
0500000US13295,13295,"Walker County, Georgia",68756,68756,68890,68814,68478,68619,68661,68499,68326,68939
0500000US13297,13297,"Walton County, Georgia",83768,83760,83933,84585,84968,86030,87539,88393,89911,91600
0500000US13299,13299,"Ware County, Georgia",36312,36306,36321,36296,35928,35785,35582,35427,35776,35871
0500000US13301,13301,"Warren County, Georgia",5834,5834,5782,5677,5546,5522,5463,5379,5382,5303
0500000US13303,13303,"Washington County, Georgia",21187,21187,21097,20973,20797,20577,20555,20740,20343,20313
0500000US13305,13305,"Wayne County, Georgia",30099,30099,30076,30300,30333,30007,29913,29441,29985,29817
0500000US13307,13307,"Webster County, Georgia",2799,2801,2783,2765,2767,2671,2613,2632,2612,2605
0500000US13309,13309,"Wheeler County, Georgia",7421,7421,7759,8068,7920,7923,7970,7898,8017,7952
0500000US13311,13311,"White County, Georgia",27144,27144,27205,27407,27633,27836,28035,28397,28825,29453
0500000US13313,13313,"Whitfield County, Georgia",102599,102599,102772,103056,103158,102982,103449,104029,104698,104658
0500000US13315,13315,"Wilcox County, Georgia",9255,9255,9240,9209,9034,9021,8894,8899,8867,8800
0500000US13317,13317,"Wilkes County, Georgia",10593,10593,10508,10230,10091,9930,9965,9918,9822,9892
0500000US13319,13319,"Wilkinson County, Georgia",9563,9563,9522,9410,9480,9362,9283,9082,9048,8959
0500000US13321,13321,"Worth County, Georgia",21679,21679,21703,21525,21365,21070,21022,20701,20719,20533
